feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
outdoors,Persuasion_T2B,1.7530512089774297,734,3957,**,0.007602794272658003,0.10131540088213133,54.73545274197625,56.488503950953685,multiple_testing_risk,Global,Global
outdoors,Likeability_Love_Like_T2B,4.228590163742519,734,3957,***,1.84123271370298e-09,0.24297530945874038,55.675331362143034,59.90392152588555,multiple_testing_risk,Global,Global
outdoors,SCD_score,7.1475251217979485,692,3716,***,1.5425861740928054e-11,0.2841440018764897,48.796159849300324,55.94368497109827,multiple_testing_risk,Global,Global
color_spectrum,Attention_T2B,2.81601556425064,4176,515,***,0.00017221228187812017,0.17775840519360925,56.95466970873787,59.77068527298851,multiple_testing_risk,Global,Global
color_spectrum,Persuasion_T2B,2.8147349604768945,4176,515,***,0.0004451786515863779,0.16493252209269324,52.5040322330097,55.31876719348659,multiple_testing_risk,Global,Global
color_spectrum,Likeability_Love_Like_T2B,3.831087503719821,4176,515,***,6.078784469500841e-06,0.21971685626703422,52.9264854368932,56.757572940613024,multiple_testing_risk,Global,Global
color_spectrum,SCD_score,8.917512542998567,3973,435,***,1.3069103445189285e-12,0.3602661430468717,41.880735632183914,50.79824817518248,multiple_testing_risk,Global,Global
tone,Attention_T2B,2.9361878994801582,1568,3123,***,1.47777019850524e-09,0.18703362672313825,58.480088248479035,61.416276147959195,multiple_testing_risk,Global,Global
tone,Persuasion_T2B,1.8618927232204152,1568,3123,***,0.0004354710083801567,0.10893007282376399,54.38740153698366,56.249294260204074,multiple_testing_risk,Global,Global
tone,Likeability_Love_Like_T2B,3.2982411894837194,1568,3123,***,2.8547923489378523e-09,0.1906496427005222,55.2345176753122,58.53275886479592,multiple_testing_risk,Global,Global
tone,SCD_score,0.3772179953965282,1458,2950,ns,0.6505682762305751,0.014965411229216526,49.79346101694916,50.17067901234569,multiple_testing_risk,Global,Global
products,Attention_T2B,0.41873726227085184,1691,3000,ns,0.06890552121596993,0.026025288629278193,59.3105845,59.72932176227085,multiple_testing_risk,Global,Global
products,Persuasion_T2B,1.953477883579735,1691,3000,***,6.047559892621457e-05,0.11342446313275659,54.30556753333333,56.25904541691307,multiple_testing_risk,Global,Global
products,Likeability_Love_Like_T2B,1.625816094401733,1691,3000,**,0.0010366928147760267,0.09249620917639537,55.75090803333333,57.376724127735066,multiple_testing_risk,Global,Global
products,SCD_score,3.1855146954523574,1616,2792,***,5.427078923652098e-05,0.1267575501357654,48.7504011461318,51.935915841584155,multiple_testing_risk,Global,Global
occasions,Attention_T2B,2.225014695443006,775,3916,***,0.0007836006489173939,0.14473713302244762,59.093935240040864,61.31894993548387,multiple_testing_risk,Global,Global
occasions,Persuasion_T2B,-0.05430006326403447,775,3916,ns,0.8367961669545175,-0.003268973102968835,55.01872328907049,54.964423225806456,multiple_testing_risk,Global,Global
occasions,Likeability_Love_Like_T2B,3.473405217041736,775,3916,***,7.016971231838101e-07,0.20633835610632467,55.763136976506644,59.23654219354838,multiple_testing_risk,Global,Global
occasions,SCD_score,10.83850715192478,746,3662,***,4.021778162518166e-26,0.4369876064464482,48.08394593118515,58.92245308310993,multiple_testing_risk,Global,Global
passion_point,Attention_T2B,3.018194204663349,1364,3327,***,2.919922422342764e-11,0.18897403216166112,58.583930868650434,61.602125073313786,multiple_testing_risk,Global,Global
passion_point,Persuasion_T2B,2.722296779614397,1364,3327,***,3.9168012546747436e-07,0.1575077330183258,54.21819134355276,56.94048812316716,multiple_testing_risk,Global,Global
passion_point,Likeability_Love_Like_T2B,3.403133978393258,1364,3327,***,6.063238672100381e-10,0.19349895565026465,55.34745040577096,58.75058438416422,multiple_testing_risk,Global,Global
passion_point,SCD_score,2.2718715591490577,1309,3099,**,0.008255225164846168,0.09083270550055977,49.24357534688609,51.515446906035145,multiple_testing_risk,Global,Global
intrinsic_elements,Attention_T2B,2.113773032902999,1188,3503,***,4.732443417888343e-05,0.13447511036931636,58.92621493005996,61.03998796296296,multiple_testing_risk,Global,Global
intrinsic_elements,Persuasion_T2B,3.161469374014181,1188,3503,***,5.994397618053107e-08,0.18723528904801154,54.20910739366258,57.37057676767676,multiple_testing_risk,Global,Global
intrinsic_elements,Likeability_Love_Like_T2B,3.132703335861231,1188,3503,***,8.684592591183728e-08,0.180864168493498,55.543618212960325,58.676321548821555,multiple_testing_risk,Global,Global
intrinsic_elements,SCD_score,2.321897988152405,1132,3276,**,0.007837981005559878,0.09272738171089938,49.32195360195361,51.64385159010602,multiple_testing_risk,Global,Global
food,Attention_T2B,1.8215245529224378,997,3694,***,5.798942254382106e-05,0.11270967012010154,59.07439279913373,60.89591735205617,multiple_testing_risk,Global,Global
food,Persuasion_T2B,2.9552873816902747,997,3694,***,1.1132100768326532e-06,0.17242418612051189,54.38165143475907,57.33693881644935,multiple_testing_risk,Global,Global
food,Likeability_Love_Like_T2B,2.972096620641562,997,3694,***,6.560673054607303e-07,0.16741884783057878,55.70530468327017,58.677401303911736,multiple_testing_risk,Global,Global
food,SCD_score,4.7632322054524225,956,3452,***,2.589823484102331e-07,0.19108884349471628,48.88518829663963,53.64842050209205,multiple_testing_risk,Global,Global
seasonal,Attention_T2B,2.110906447227212,371,4320,*,0.019808195992477493,0.13761926269262098,59.29458331018519,61.405489757412404,multiple_testing_risk,Global,Global
seasonal,Persuasion_T2B,-0.7917374682414824,371,4320,ns,0.36203841928664793,-0.04747077874617658,55.07236900462963,54.28063153638815,multiple_testing_risk,Global,Global
seasonal,Likeability_Love_Like_T2B,2.8075400220874402,371,4320,**,0.006346697078393133,0.16665859053905474,56.11493652777778,58.92247654986522,multiple_testing_risk,Global,Global
seasonal,SCD_score,8.59761824488356,353,4055,***,1.9223803611391626e-09,0.3385482793309422,49.229718865598024,57.82733711048158,multiple_testing_risk,Global,Global
additional_elements_and_product_placement,Attention_T2B,0.11733568188422305,410,4281,ns,0.9158061930352428,0.007426150149390637,59.45127456201822,59.56861024390244,multiple_testing_risk,Global,Global
additional_elements_and_product_placement,Persuasion_T2B,-0.7520213176201107,410,4281,ns,0.4338920088701105,-0.04318749219576685,55.07548009810791,54.3234587804878,multiple_testing_risk,Global,Global
additional_elements_and_product_placement,Likeability_Love_Like_T2B,-0.4639473327977872,410,4281,ns,0.4905420064817768,-0.0265565615302566,56.377527820602666,55.91358048780488,multiple_testing_risk,Global,Global
additional_elements_and_product_placement,SCD_score,-1.72005416650714,390,4018,ns,0.17307800228599113,-0.06928773535835153,50.07041314086611,48.35035897435897,multiple_testing_risk,Global,Global
emotions,Attention_T2B,2.569392170825713,186,4505,*,0.025421968693570027,0.16065940391950592,59.35965245283019,61.929044623655905,multiple_testing_risk,Global,Global
emotions,Persuasion_T2B,3.2179508587829586,186,4505,*,0.012762239512989505,0.18808585821620977,54.8821593562708,58.10011021505376,multiple_testing_risk,Global,Global
emotions,Likeability_Love_Like_T2B,3.6060392672419006,186,4505,**,0.006035384100191253,0.2075924116191852,56.19399729189789,59.80003655913979,multiple_testing_risk,Global,Global
emotions,SCD_score,1.897710624677773,176,4232,ns,0.33708781136171895,0.07651513640666631,49.84245982986768,51.740170454545456,multiple_testing_risk,Global,Global
music_style,Attention_T2B,3.762018140644363,157,4534,**,0.0028968377570261945,0.2512421777785945,59.33562134980149,63.09763949044586,multiple_testing_risk,Global,Global
music_style,Persuasion_T2B,1.1942259414361223,157,4534,ns,0.38138760076348943,0.0720844951330103,54.96978361270401,56.16400955414014,multiple_testing_risk,Global,Global
music_style,Likeability_Love_Like_T2B,3.994953700842052,157,4534,**,0.004735139859785726,0.2401432134757445,56.20327368769299,60.198227388535045,multiple_testing_risk,Global,Global
music_style,SCD_score,3.913169645010078,151,4257,ns,0.07079400208981942,0.15698063390962616,49.784181348367404,53.697350993377476,multiple_testing_risk,Global,Global
moments,Attention_T2B,-0.4298639376590474,131,4560,ns,0.8154779640640603,-0.026751334667853507,59.473534166666674,59.04367022900763,multiple_testing_risk,Global,Global
moments,Persuasion_T2B,-1.1013426186889053,131,4560,ns,0.5428628097078408,-0.06371149879802593,55.04050826754386,53.93916564885496,multiple_testing_risk,Global,Global
moments,Likeability_Love_Like_T2B,-0.9797672135730573,131,4560,ns,0.5153710732341806,-0.05618408154648449,56.364338969298245,55.38457175572519,multiple_testing_risk,Global,Global
moments,SCD_score,2.18629590814165,122,4286,ns,0.3771779892808158,0.08689789654090814,49.85772048530098,52.044016393442625,multiple_testing_risk,Global,Global
call_to_action,Attention_T2B,0.935838470196082,106,4585,ns,0.23941569501542503,0.055206239247328745,59.44038322791712,60.3762216981132,multiple_testing_risk,Global,Global
call_to_action,Persuasion_T2B,0.31189535441656924,106,4585,ns,0.6690492387504798,0.017011135720039396,55.002704645583435,55.314600000000006,multiple_testing_risk,Global,Global
call_to_action,Likeability_Love_Like_T2B,-0.5298567181745262,106,4585,ns,0.9778637120866815,-0.029203991460296036,56.34895105779717,55.819094339622644,multiple_testing_risk,Global,Global
call_to_action,SCD_score,-3.10700014205218,98,4310,ns,0.23540366984956607,-0.12763481069634725,49.987306264501164,46.880306122448985,multiple_testing_risk,Global,Global
graphic_design_style,Attention_T2B,1.2875307162419358,62,4629,ns,0.6581955858472366,0.08556195772611802,59.44451283214517,60.732043548387104,multiple_testing_risk,Global,Global
graphic_design_style,Persuasion_T2B,0.01951849838676134,62,4629,ns,0.9669814625312116,0.0011549954869416851,55.00949440483905,55.02901290322582,multiple_testing_risk,Global,Global
graphic_design_style,Likeability_Love_Like_T2B,1.4696818005700552,62,4629,ns,0.4961391203228852,0.08429631807547272,56.31755368330092,57.78723548387098,multiple_testing_risk,Global,Global
graphic_design_style,SCD_score,-8.29673792143918,59,4349,*,0.013179050915471854,-0.3433853416643541,50.029280294320536,41.732542372881355,multiple_testing_risk,Global,Global
aesthetics,Attention_T2B,1.6651798140628449,12,4679,ns,0.8126505698649402,0.11822438579401835,59.45727018593716,61.12245000000001,"small_sample, multiple_testing_risk",Global,Global
aesthetics,Persuasion_T2B,-1.937015770819961,12,4679,ns,0.6927280233908437,-0.11659969156632491,55.01470743748664,53.07769166666668,"small_sample, multiple_testing_risk",Global,Global
aesthetics,Likeability_Love_Like_T2B,0.8676496883237128,12,4679,ns,0.9065561350199323,0.058256848574201194,56.33475864500962,57.20240833333333,"small_sample, multiple_testing_risk",Global,Global
aesthetics,SCD_score,-2.1918820683523856,11,4397,ns,0.7670130672904623,-0.09609342672423468,49.92370025017057,47.731818181818184,"small_sample, multiple_testing_risk",Global,Global
fashion_style,Attention_T2B,-4.624609672459901,16,4675,ns,0.5745965497759702,-0.22984314218242105,59.47730342245989,54.85269374999999,"small_sample, multiple_testing_risk",Global,Global
fashion_style,Persuasion_T2B,-0.32574467245989336,16,4675,ns,0.9365523468296433,-0.016575870941590288,55.01086342245989,54.685118749999994,"small_sample, multiple_testing_risk",Global,Global
fashion_style,Likeability_Love_Like_T2B,-4.750198835561504,16,4675,ns,0.4536471785938154,-0.2161691293428356,56.353180085561505,51.60298125,"small_sample, multiple_testing_risk",Global,Global
fashion_style,SCD_score,10.000569216757743,16,4392,ns,0.09332164565356284,0.4038102659502957,49.88193078324226,59.88250000000001,"small_sample, multiple_testing_risk",Global,Global
human_presence,Attention_T2B,-0.12800646135792126,951,543,ns,0.8986589142805517,-0.013242359340094045,64.66802633517496,64.54001987381703,multiple_testing_risk,OU,LATAM
human_presence,Persuasion_T2B,-0.2805867560172204,951,543,ns,0.591241260610948,-0.031106518747780643,62.226073296500914,61.9454865404837,multiple_testing_risk,OU,LATAM
human_presence,Likeability_Love_Like_T2B,0.7755873689225146,951,543,ns,0.14573243572186972,0.06843827507522685,63.18241620626151,63.95800357518402,multiple_testing_risk,OU,LATAM
human_presence,SCD_score,-1.352915763813639,923,520,ns,0.3037625263065221,-0.05346793341330082,50.717596153846145,49.364680390032504,multiple_testing_risk,OU,LATAM
food_presence,Attention_T2B,0.3863140756390382,328,1166,ns,0.26092602453923497,0.038906712504887794,64.50173104631219,64.88804512195122,multiple_testing_risk,OU,LATAM
food_presence,Persuasion_T2B,1.4574596724260647,328,1166,**,0.0028356829003142793,0.16126216193181545,61.72748910806174,63.1849487804878,multiple_testing_risk,OU,LATAM
food_presence,Likeability_Love_Like_T2B,1.5783508299167526,328,1166,*,0.0251374894407916,0.1380166115214149,63.32959459691252,64.90794542682927,multiple_testing_risk,OU,LATAM
food_presence,SCD_score,3.4045829754932533,322,1121,*,0.030927504050353546,0.13429774148123075,49.09249776984835,52.497080745341606,multiple_testing_risk,OU,LATAM
product_presence,Attention_T2B,0.3891466232841201,792,702,ns,0.35530614687519935,0.040140903091802536,64.38024971509971,64.76939633838383,multiple_testing_risk,OU,LATAM
product_presence,Persuasion_T2B,0.9113942825692778,792,702,*,0.045361361640861644,0.1013423828801775,61.56431809116809,62.475712373737366,multiple_testing_risk,OU,LATAM
